abbrev,correct title,title1_votes,title1,title2,title3,correct url,url1_votes,url1,url2,url3
ANN I FOURIER,annales de l'institut fourier,2,annales de l'institut fourier,annales de lâinstitut fourier,,http://aif.cedram.org/spip.php?lang=en,3,http://aif.cedram.org/spip.php?lang=en,,
ADV MATH COMMUN,advances in mathematics of communications,3,advances in mathematics of communications,,,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=10,2,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=10,http://aimsciences.org/journals/home.jsp?journalID=10,
INVERSE PROBL IMAG,inverse problems and imaging,3,inverse problems and imaging,,,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=11,2,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=11,http://aimsciences.org/journals/home.jsp?journalID=11,
DISCRETE CONT DYN-S,discrete and continuous dynamical systems - series s,1,discrete and continuous dynamical systems - series s,discrete and continuous dynamical systems - series a (dcds-a),discrete and continuous dynamical systems,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=15,2,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=15,http://www.aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=1,
KINET RELAT MOD,kinetics and related models,2,kinetic and related models,kinetics and related models,,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=16,3,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=16,,
DISCRETE CONT DYN-B,discrete and continuous dynamical systems - series b,3,discrete and continuous dynamical systems - series b,,,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=2,1,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=2,http://aimsciences.org/journals/home.jsp?journalID=2,http://www.aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=2
MATH CONTROL RELAT F,mathematical control and related fields (mcrf),2,mathematical control and related fields (mcrf),mathematical control and related fields(mcrf),,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=23,2,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=23,http://www.aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=23,
NETW HETEROG MEDIA,networks and heterogeneous media,3,networks and heterogeneous media,,,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=9,2,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=9,http://aimsciences.org/journals/home.jsp?journalID=9,
ALGORITHM MOL BIOL,algorithms for molecular biology,3,algorithms for molecular biology,,,http://almob.biomedcentral.com/about/editorial-board,2,http://almob.biomedcentral.com/about/editorial-board,http://almob.biomedcentral.com/,
APPL MATH-CZECH,applications of mathematics (czech),2,czechoslovak mathematical journal,applications of mathematics,,http://am.math.cas.cz/#editors,2,http://cmj.math.cas.cz/,http://am.math.cas.cz/,
ARS MATH CONTEMP,ars mathematica contemporanea,3,ars mathematica contemporanea,,,http://amc-journal.eu/index.php/amc/about/editorialTeam,2,http://amc-journal.eu/index.php/amc/about/editorialTeam,,
ANN SCUOLA NORM-SCI,annali della scuola normale superiore di pisa,2,annali della scuola normale superiore di pisa,annali della scuola normale superiore di pisa - classe di scienze,,http://annaliscienze.sns.it/index.php?page=EditorialBoard,3,http://annaliscienze.sns.it/index.php?page=EditorialBoard,,
ANN MATH,annals of mathematics,3,annals of mathematics,,,http://annals.math.princeton.edu/board,3,http://annals.math.princeton.edu/board,,
BAYESIAN ANAL,bayesian analysis,3,bayesian analysis,,,http://bayesian.org/BA/editorial-board,2,http://bayesian.org/BA/editorial-board,,
CURR BIOINFORM,current bioinformatics,3,current bioinformatics,,,http://benthamscience.com/journals/current-bioinformatics/editorial-board/,3,http://benthamscience.com/journals/current-bioinformatics/editorial-board/,,
B IRAN MATH SOC,bulletin of the iranian mathematical society,2,bulletin of the iranian mathematical society,the bulletin of the iranian mathematical society,,http://bims.iranjournals.ir/journal/editorial.board,3,http://bims.iranjournals.ir/journal/editorial.board,,
BIODATA MIN,biodata mining,2,biodata mining,biodata min,,http://biodatamining.biomedcentral.com/about/editorial-board,2,http://biodatamining.biomedcentral.com/about/editorial-board,http://pubpeer.com/journals/BioData-Min,
B KOREAN MATH SOC,bulletin of the korean mathematical society,3,bulletin of the korean mathematical society,,,http://bkms.kms.or.kr/about/board.html,1,http://bkms.kms.or.kr/about/board.html,http://www.koreascience.or.kr/journal/AboutJournal.jsp?kojic=E1BMAX,http://bkms.kms.or.kr/
UTILITAS MATHEMATICA,utilitas mathematica,3,utilitas mathematica,,,http://bkocay.cs.umanitoba.ca/utilitas/index.html,2,http://bkocay.cs.umanitoba.ca/utilitas/index.html,http://www.researchgate.net/journal/0315-3681_Utilitas_Mathematica,
BMC BIOINFORMATICS,bmc bioinformatics,2,bmc bioinformatics,biomedical central bioinformatics,,http://bmcbioinformatics.biomedcentral.com/about/editorial-board,1,http://bmcbioinformatics.biomedcentral.com/about/editorial-board,http://bmcbioinformatics.biomedcentral.com/,http://link.springer.com/journal/12859
BMC SYST BIOL,bmc systems biology,3,bmc systems biology,,,http://bmcsystbiol.biomedcentral.com/about/editorial-board,3,http://bmcsystbiol.biomedcentral.com/about/editorial-board,,
B BELG MATH SOC-SIM,bulletin of the belgian mathematical society-simon stevin,2,bulletin of the belgian mathematical society-simon stevin,bulletin of the belgian mathematical society,,http://bms.ulb.ac.be/cgi/bull_general.php,3,http://bms.ulb.ac.be/cgi/bull_general.php,,
CARPATHIAN J MATH,carpathian journal of mathematics,3,carpathian journal of mathematics,,,http://carpathian.ubm.ro/?m=editorial_board%2F,2,http://carpathian.ubm.ro/?m=editorial_board%2F,,
CONTRIB DISCRET MATH,contributions to discrete mathematics,2,contributions to discrete mathematics,journals in combinatorics and related fields,,http://cdm.ucalgary.ca/cdm/index.php/cdm/pages/view/editors.html,1,http://www.combinatorics.net/journals/jhomes/ConDisMat.html,http://cdm.ucalgary.ca/cdm/index.php/cdm/pages/view/editors.html,http://www.journals.elsevier.com/discrete-mathematics/editorial-board/
CZECH MATH J,czechoslovak mathematical journal,3,czechoslovak mathematical journal,,,http://cmj.math.cas.cz/,3,http://cmj.math.cas.cz/,,
