Publisher Abbreviation	Publisher Full Title	
ACAD ECONOMIC STUDIES	(Bucharest) Academy of Economic Studies	
ACAD SCIENCES CZECH REPUBLIC, INST MATHEMATICS	Institute of Mathematics of the Czech Academy of Sciences	
AKADEMIAI KIADO RT	Akademiai Kiado Rt.	
AMER INST MATHEMATICAL SCIENCES	American Institute of Mathematical Sciences	
AMER INST PHYSICS	American Institute of Physics	
AMER MATHEMATICAL SOC	American Mathematical Society	
AMER SCIENTIFIC PUBLISHERS	American Scientific Publishers	
AMER STATISTICAL ASSOC	American Statistical Association	
ANNALES INST FOURIER	Annales de l'Institut Fourier	
ANNUAL REVIEWS	Annual Reviews	
ARS POLONA-RUCH	Ars Polona S.A.	
ASSOC COMPUTING MACHINERY	Association for Computing Machinery	
BEGELL HOUSE INC	Begell House Publishers	
BELGIAN MATHEMATICAL SOC TRIOMPHE	Belgian Mathematical Society	
BENTHAM SCIENCE PUBL LTD	Bentham Science Publishers	
BROWN UNIV	Brown University	
C E D A M SPA CASA EDITR DOTT ANTONIO MILANI	Casa Editrice dott. Antonio Milani	
CAMBRIDGE UNIV PRESS	Cambridge University Press	
CANADIAN MATHEMATICAL SOC	Canadian Mathematical Society	
CENTER	Center Street Publishing?	Tokyo Journal of Mathematics
CROATIAN MATHEMATICAL SOC	Croatian Mathematical Society	
DE GRUYTER	De Gruyter	
DUKE UNIV PRESS	Duke University Press	
DYNAMIC PUBLISHERS, INC	Dynamic Publishers, Inc.	
EDITURA ACAD ROMANE	Editura Academiei Române	
EDP SCIENCES S A	Édition Diffusion Presse Sciences	
ELECTRONIC JOURNALS PROJECT	The Electronic Journals Project	
ELSEVIER	Elsevier	
EMERALD GROUP PUBLISHING LIMITED	Emerald Group Publishing	
EUDOXUS PRESS, LLC	Eudoxus Press	
EUROPEAN MATHEMATICAL SOC	European Mathematical Society	
FRENCH MATHEMATICAL SOC	French Mathematical Society or Société Mathématique de France	
GEOMETRY & TOPOLOGY PUBLICATIONS	Geometry & Topology Publications	
GLOBAL SCIENCE PRESS	Global Science Press	
HACETTEPE UNIV, FAC SCI	Hacettepe University Institute of Science	
HEBREW UNIV MAGNES PRESS	The Hebrew University Magnes Press	
HELDERMANN  VERLAG	Heldermann Verlag	
HIGHER EDUCATION PRESS	Higher Education Press	
HIROSHIMA UNIV, GRAD SCH SCI	Hiroshima University Graduate School of Science	
HOKKAIDO UNIV, DEPT MATHEMATICS	Department of Mathematics, Hokkaido University	
HOUSE	House	Is the Chiinese Annals of Mathematics Series A, http://camath.fudan.edu.cn/camaen/ch/first_menu.aspx?parent_id=2009061551117001
HOUSE BOOK SCIENCE-CASA CARTII STIINTA	House Book Science—Casa Cartii Stiinta	
IEEE COMPUTER SOC	Institute of Electrical and Electronic Engineers Computer Society	
IMPERIAL COLLEGE PRESS	Imperial College Press	
INDEPENDENT UNIV MOSCOW-IUM	The Independent University of Moscow	
INDERSCIENCE ENTERPRISES LTD	Inderscience Publishers	
INDIAN ACAD SCIENCES	The Indian Academy of Sciences	
INDIAN NAT SCI ACAD	Indian National Science Academy	
INDIANA UNIV MATH JOURNAL	Indiana University Mathematics Journal	
INST ENGINEERING TECHNOLOGY-IET	The Institution of Engineering and Technology	
INST MATHEMATICS & INFORMATICS	Institute of Mathematics and Informatics	
INT LINEAR ALGEBRA SOC	International Linear Algebra Society	
INT PRESS BOSTON, INC	International Press of Boston, Inc.	
INT SCIENTIFIC RESEARCH PUBLICATIONS	International Journal of Scientific and Research Publications	
INT SOC STEREOLOGY	International Society for Stereology	
IOP PUBLISHING LTD	Institute of Physics Publishing	
IOS PRESS	IOS Press	
IRANIAN MATHEMATICAL SOC	Iranian Mathematical Society	
ISCI-INST SCIENTIFIC COMPUTING & INFORMATION	ISCI - Inst Scientific Computing & Information	
JAGIELLONIAN UNIV, THEORETICAL COMPUTER SCIENCE DEPT	Jagiellonian University, Theoretical Computer Science Department	
JAPAN ACAD	The Japan Academy	
JOHNS HOPKINS UNIV PRESS	Johns Hopkins University Press	
JULIUSZ SCHAUDER CTR NONLINEAR STUDIES	Juliusz P. Schauder Center for Nonlinear Studies	
KENT STATE UNIVERSITY	Kent State University	
KHAYYAM PUBL CO INC	Khayyam Publishing Company Inc.	
KINOKUNIYA CO LTD	Kinokuniya Company Ltd.	
KOBE UNIV, DEPT MATHEMATICS	Department of Mathematics, Kobe University	
KOREAN MATHEMATICAL SOC	Korean Mathematical Society	
KYUSHU UNIV, FAC MATHEMATICS	Faculty of Mathematics, Kyushu University	
LONDON MATH SOC	London Mathematical Society	
MATEMATISK INST	Matematisk Institutt	
MATH SOC JAPAN	Mathematical Society of Japan	
MATHEMATICAL SCIENCE PUBL	Mathematical Science Publishers	
MICHIGAN MATHEMATICAL JOURNAL	Michigan Mathematical Journal	
MOUNT ALLISON UNIV	Mount Allison University	
NATL INQUIRY SERVICES CENTRE PTY LTD	National Inquiry Services Centre (PTY) LTD	
NORTH UNIV BAIA MARE	North University of Baia Mare	
OSAKA JOURNAL OF MATHEMATICS	Osaka Journal of Mathematics	
OVIDIUS UNIV PRESS	Ovidius University Press	
OXFORD UNIV PRESS	Oxford University Press	
PACIFIC JOURNAL MATHEMATICS	Pacific Journal of Mathematics	
PLEIADES	Pleiades Publishing Group	
POLISH ACAD SCIENCES INST MATHEMATICS-IMPAN	Institute ofMathematics of the Polish Academy of Sciences	
PRINCETON UNIVERSITY	Princeton University	
PUBLICATIONS L INSTITUT MATHEMATIQUE MATEMATICKI	Publications de l'Institut Mathématique 	
RAMANUJAN MATHEMATICAL SOC	Ramanujan Mathematical Society	
ROCKY MT MATH CONSORTIUM	Rocky Mountain Mathematics Consortium	
SAGE	Sage Publications	
SCIENCES	Sciences	A journal from Kyoto University, web page http://www.kurims.kyoto-u.ac.jp/~prims/
SCIENTIFIC TECHNICAL RESEARCH COUNCIL TURKEY-TUBITAK	Scientific and Technological Research Council of Turkey-Tubitak	
SCUOLA NORMALE SUPERIORE	Scuola Normale Superiore	
SIAM PUBLICATIONS	SIAM Publications	
SOC MATHEMATIQUE FRANCE	Societe Mathematique de France	
SPRINGER	Springer Publishing Company	
SUOMALAINEN   TIEDEAKATEMIA	Suomalainen Tiedeakatemia, Academia Scientiarum Fennica Publisher	
TAYLOR AND FRANCIS	Taylor & Francis Group	
TECH SCIENCE PRESS	Tech Science Press	
TEXAS STATE UNIV	Texas State University	
THETA FOUNDATION	Theta Foundation	
TOHOKU UNIVERSITY	Tohoku University	
TURPION LTD	Turpion Limited	
TUSI MATHEMATICAL RESEARCH GROUP	Tusi Mathematical Research Group	
UNION MATEMATICA ARGENTINA	Union Matematica Argentina	
UNIV AUTONOMA BARCELONA	Autonomous University of Barcelona	
UNIV BELGRADE	University of Belgrade	
UNIV BIELEFELD	Bielefeld University	
UNIV BORDEAUX, INST MATHEMATIQUES BORDEAUX	University of Bodeaux, Institute of Mathematics	
UNIV CALGARY, DEPT MATH & STATISTICS	University of Calgary Department of Mathematics and Statistics	
UNIV HOUSTON	University of Houston	
UNIV KRAGUJEVAC, FAC SCIENCE	Faculty of Science University of Kragujevac	
UNIV MISKOLC INST MATH	Institute of Mathematics, University of Miskolc	
UNIV NIS, FAC SCI MATH	University of Nis, Faculty Sciences and Mathematics, Serbia	
UNIV POLITECNICA CATALUNYA	Polytechnic University of Catalonia	
UNIV POLITEHNICA BUCHAREST, SCI BULL	Scientific Bulletin - University Politehnica of Bucharest	
UNIV PRESS INC	University Press of America	
UNIV SISTAN & BALUCHESTAN	University of Sistan and Balluchestan	
UNIV SZEGED, BOLYAI INSTITUTE	University of Szeged Bolayi Institute	
UNIV ZIELONA GORA	University of Zielona Gora	
UTIL MATH PUBL INC	Utilitas Mathematica Publishing Inc.	
WILEY	John Wiley & Sons, Inc. 	
WILMINGTON SCIENTIFIC PUBLISHER, LLC	Wilmington Scientific Publisher LLC	
WORLD SCIENTIFIC	World Scientific Publishing	
